############ Ejecución 1 ############
D: 256, L: 3072, R: 3072, ciclos: 242332, accesos: 122880, ciclos/acc: 1.972103
D: 256, L: 8192, R: 8192, ciclos: 961740, accesos: 327680, ciclos/acc: 2.934998
D: 256, L: 16384, R: 16384, ciclos: 2921166, accesos: 655360, ciclos/acc: 4.457346
D: 256, L: 32768, R: 32768, ciclos: 6527338, accesos: 1310720, ciclos/acc: 4.979964
D: 512, L: 256, R: 256, ciclos: 23314, accesos: 10240, ciclos/acc: 2.276758
D: 512, L: 768, R: 768, ciclos: 66840, accesos: 30720, ciclos/acc: 2.175781
D: 512, L: 2048, R: 2048, ciclos: 178990, accesos: 81920, ciclos/acc: 2.184937
D: 512, L: 3072, R: 3072, ciclos: 297898, accesos: 122880, ciclos/acc: 2.424300
D: 512, L: 8192, R: 8192, ciclos: 1767482, accesos: 327680, ciclos/acc: 5.393927
D: 512, L: 16384, R: 16384, ciclos: 3705428, accesos: 655360, ciclos/acc: 5.654034
D: 512, L: 32768, R: 32768, ciclos: 7420816, accesos: 1310720, ciclos/acc: 5.661633
D: 1024, L: 256, R: 256, ciclos: 31672, accesos: 10240, ciclos/acc: 3.092969
D: 1024, L: 768, R: 768, ciclos: 64336, accesos: 30720, ciclos/acc: 2.094271
D: 1024, L: 2048, R: 2048, ciclos: 183796, accesos: 81920, ciclos/acc: 2.243604
D: 1024, L: 3072, R: 3072, ciclos: 325170, accesos: 122880, ciclos/acc: 2.646240
D: 1024, L: 8192, R: 8192, ciclos: 1650982, accesos: 327680, ciclos/acc: 5.038397
D: 1024, L: 16384, R: 16384, ciclos: 3656610, accesos: 655360, ciclos/acc: 5.579544
D: 1024, L: 32768, R: 32768, ciclos: 7036378, accesos: 1310720, ciclos/acc: 5.368330
D: 2048, L: 256, R: 256, ciclos: 21564, accesos: 10240, ciclos/acc: 2.105859
D: 2048, L: 768, R: 768, ciclos: 62184, accesos: 30720, ciclos/acc: 2.024219
D: 2048, L: 2048, R: 2048, ciclos: 194762, accesos: 81920, ciclos/acc: 2.377466
D: 2048, L: 3072, R: 3072, ciclos: 417228, accesos: 122880, ciclos/acc: 3.395410
D: 2048, L: 8192, R: 8192, ciclos: 1568492, accesos: 327680, ciclos/acc: 4.786658
D: 2048, L: 16384, R: 16384, ciclos: 3654316, accesos: 655360, ciclos/acc: 5.576044
D: 2048, L: 32768, R: 32768, ciclos: 7974048, accesos: 1310720, ciclos/acc: 6.083716
D: 4096, L: 256, R: 256, ciclos: 24170, accesos: 10240, ciclos/acc: 2.360352
D: 4096, L: 768, R: 768, ciclos: 65694, accesos: 30720, ciclos/acc: 2.138477
D: 4096, L: 2048, R: 2048, ciclos: 207038, accesos: 81920, ciclos/acc: 2.527319
D: 4096, L: 3072, R: 3072, ciclos: 418766, accesos: 122880, ciclos/acc: 3.407926
D: 4096, L: 8192, R: 8192, ciclos: 1625504, accesos: 327680, ciclos/acc: 4.960645
D: 4096, L: 16384, R: 16384, ciclos: 4149478, accesos: 655360, ciclos/acc: 6.331601
D: 4096, L: 32768, R: 32768, ciclos: 9234896, accesos: 1310720, ciclos/acc: 7.045667
